text,link,type,time,file_name,id
"Приказ о выдаче дипломов доктора наук № 268/нк от 14 марта 2018 г. (технические, физико-математические, химические)",http://vak.ed.gov.ru/documents/10179/0/268%D0%BD%D0%BA.pdf/aaba39ab-d25e-4ad0-b077-bd517607d0cb,доктор,14 марта 2018,268нк.pdf,163
"Приказ о выдаче дипломов доктора наук № 269/нк от 14 марта 2018 г. (биологические, медицинские, сельско-хозяйственные)",http://vak.ed.gov.ru/documents/10179/0/269%D0%BD%D0%BA.pdf/f5f86a94-ae5f-4ad3-aaeb-5468b6ae30b6,доктор,14 марта 2018,269нк.pdf,164
"Приказ Минобрнауки России о выдаче дипломов кандидата наук № 254/нк от 01 марта 2018 г. (биологические, медицинские);",http://vak.ed.gov.ru/documents/10179/0/254%D0%BD%D0%BA.pdf/094049ae-d2bb-41ae-b16e-db8d59467884,кандидат,01 марта 2018,254нк.pdf,165
"Приказ Минобрнауки России о выдаче дипломов кандидата наук № 255/нк от 01 марта 2018 г. (географические, геолого-минералогические, технические, физико-математические, химические);",http://vak.ed.gov.ru/documents/10179/0/255%D0%BD%D0%BA.pdf/60f56652-2a89-4995-8612-022e54f8e0a1,кандидат,01 марта 2018,255нк.pdf,166
"Приказ Минобрнауки России о выдаче дипломов кандидата наук № 256/нк от 01 марта 2018 г. (исторические, педагогические, психологические);",http://vak.ed.gov.ru/documents/10179/0/Scan0220.pdf/4ec32e07-0e95-4818-bce5-2ba5c724f767,кандидат,01 марта 2018,Scan0220.pdf,167
"Приказ Минобрнауки России о выдаче дипломов доктора наук № 257/нк от 01 марта 2018 г. (геолого-минералогические, технические);",http://vak.ed.gov.ru/documents/10179/0/257%D0%BD%D0%BA.pdf/74194f78-7a50-45f2-a9e8-ccf539db3184,доктор,01 марта 2018,257нк.pdf,168
"Приказ Минобрнауки России о выдаче дипломов кандидата наук № 258/нк от 01 марта 2018 г. (архитектура, технические, физико-математические);",http://vak.ed.gov.ru/documents/10179/0/258%D0%B0%D0%BD%D0%BA.pdf/11245e47-ac82-490f-8c80-f15154124103,кандидат,01 марта 2018,258анк.pdf,169
"Приказ о выдаче дипломов кандидата наук от 15 февраля 2019 г. №128/нк (ветер., мед.);",http://vak.ed.gov.ru/documents/10179/0/128%D0%BD%D0%BA.pdf/16145e27-898b-4ec6-82fc-d714b0a7673c,кандидат,15 февраля 2019,128нк.pdf,17
Приказ Минобрнауки России о выдаче дипломов кандидата наук № 264/нк от 06 марта 2018 г.(медицинские);,http://vak.ed.gov.ru/documents/10179/0/264%D0%BD%D0%BA.pdf/21832965-1c17-431b-8890-f24e09b6cdec,кандидат,06 марта 2018,264нк.pdf,170
"Приказ Минобрнауки России от 22 февраля 2018 г. № 245/нк «О выдаче дипломов кандидата наук»(биологические, ветеринарные, с/х, фармацевтические)",http://vak.ed.gov.ru/documents/10179/0/245..pdf/36ae304a-35d2-4884-b12a-3ec420cf652d,кандидат,22 февраля 2018,245..pdf,171
"Приказ Минобрнауки России от 22 февраля 2018 г. № 244/нк «О выдаче дипломов доктора наук»(биологические, медицинские, с/х, фармацевтические)",http://vak.ed.gov.ru/documents/10179/0/244..pdf/35996834-54aa-48be-89b5-81ddca88ab1a,доктор,22 февраля 2018,244..pdf,172
"Приказ Минобрнауки России от 22 февраля 2018 г. № 243/нк «О выдаче дипломов доктора нау»(технические, физ-мат., химические)",http://vak.ed.gov.ru/documents/10179/0/243..pdf/9e635ddd-24a8-4f49-a66e-6f43995850cb,доктор,22 февраля 2018,243..pdf,173
"Приказ Минобрнауки России от 16 февраля 2018 г. № 194/нк «О выдаче дипломов доктора наук»(экон., юр.)",http://vak.ed.gov.ru/documents/10179/0/194.pdf/c8c5e422-aa0d-4738-9f52-b9c4043cae7e,доктор,16 февраля 2018,194.pdf,174
"Приказ Минобрнауки России от 16 февраля 2018 г. № 193/нк «О выдаче дипломов кандидата наук»(техн., физ-мат)",http://vak.ed.gov.ru/documents/10179/0/193.pdf/9f21a444-04c7-4fd6-b2f3-34929a03aa8f,кандидат,16 февраля 2018,193.pdf,175
"Приказ Минобрнауки России от 16 февраля 2018 г. № 189/нк «О выдаче дипломов кандидата наук»(культур., пол., юр., экон.)",http://vak.ed.gov.ru/documents/10179/0/189.pdf/5534e530-eb6a-499c-8f6d-fb92f204d23f,кандидат,16 февраля 2018,189.pdf,176
"Приказ Минобрнауки России от 09 февраля 2018 г. № 157/нк «Приказ о выдаче дипломов доктора наук» (педагогические,юридические)",http://vak.ed.gov.ru/documents/10179/0/157nk.pdf/fd22a178-c76f-43b8-832f-c5fa1408e615,доктор,09 февраля 2018,157nk.pdf,177
"Приказ Минобрнауки России от 09 февраля 2018 г. № 158/нк «Приказ о выдаче дипломов кандидата наук»(политические,юридические)",http://vak.ed.gov.ru/documents/10179/0/158nk.pdf/fabdbd78-011b-4890-b284-04544fc57f4b,кандидат,09 февраля 2018,158nk.pdf,178
"Приказ Минобрнауки России от 09 февраля 2018 г. № 159/нк «Приказ о выдаче дипломов кандидата наук»(биологические,сельскохозяйственные)",http://vak.ed.gov.ru/documents/10179/0/Scan0202.pdf/2b43bf5b-7957-4838-99c3-7ff6f3191096,кандидат,09 февраля 2018,Scan0202.pdf,179
"Приказ о выдаче дипломов кандидата наук от 15 февраля 2019 г. №129/нк (биол., ветер., мед., сельх., фарм.);",http://vak.ed.gov.ru/documents/10179/0/129%D0%BD%D0%BA.pdf/2504e8f9-8db1-4489-ab2c-d125e53101e3,кандидат,15 февраля 2019,129нк.pdf,18
"Приказ Минобрнауки России от 09 февраля 2018 г. № 160/нк «Приказ о выдаче дипломов доктора наук»(биологические,сельскохозяйственные)",http://vak.ed.gov.ru/documents/10179/0/160nk.pdf/876efdc7-d743-48b0-96a9-02d8af74f23e,доктор,09 февраля 2018,160nk.pdf,180
"Приказ Минобрнауки России от 09 февраля 2018 г. № 161/нк «Приказ о выдаче дипломов кандидата наук»(архитектура,технические)",http://vak.ed.gov.ru/documents/10179/0/161nk.pdf/1cb661a4-6fae-4e4a-b83b-496d12c42b8a,кандидат,09 февраля 2018,161nk.pdf,181
Приказ Минобрнауки России от 09 февраля 2018 г. № 162/нк «6. Приказ о выдаче дипломов доктора наук»(технические),http://vak.ed.gov.ru/documents/10179/0/162nk..pdf/c347e12a-b450-4907-ba78-3eb713974fda,доктор,09 февраля 2018,162nk..pdf,182
"Приказ о выдаче дипломов доктора наук от 22 декабря 2017 г. № 1276/нк (географические, геолого-минералогические, технические, физико-математические, технические, химические)",http://vak.ed.gov.ru/documents/10895634/0/1276%D0%BD%D0%BA.pdf/a1d2fa74-878c-49e5-996a-7759c566a185,доктор,22 декабря 2017,1276нк.pdf,183
